,click,banner_pos,device_type,device_conn_type,C1,C14,C15,C16,C17,C18,C19,C20,C21,site_id_enconde,site_domain_enconde,site_category_enconde,app_id_enconde,app_domain_enconde,app_category_enconde,device_id_enconde,device_ip_enconde,device_model_enconde
0,0,0,1,2,1005,15706,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,15126,493
1,0,0,1,0,1005,15704,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,10333,778
2,0,0,1,0,1005,15704,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,12309,943
3,0,0,1,0,1005,15706,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,15868,686
4,0,1,1,0,1005,18993,320,50,2161,0,35,-1,157,565,272,0,451,18,0,1905,10320,814
5,0,0,1,0,1005,16920,320,50,1899,0,431,100077,117,464,365,12,451,18,0,1905,328,943
6,0,0,1,0,1005,20362,320,50,2333,0,39,-1,157,316,69,12,451,18,0,1905,12209,1305
7,0,1,1,0,1005,20632,320,50,2374,3,39,-1,23,493,240,12,451,18,0,1905,15793,1306
8,1,0,1,2,1005,15707,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,3816,650
9,0,0,0,0,1002,21689,320,50,2496,3,167,100191,23,291,377,5,451,18,0,2178,16490,397
10,0,1,1,0,1005,17747,320,50,1974,2,39,100019,33,493,240,12,451,18,0,1905,6391,981
11,0,0,1,0,1005,15701,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,7640,227
12,0,0,1,2,1005,20596,320,50,2161,0,35,100148,157,346,16,12,451,18,0,1905,6048,896
13,0,0,1,0,1005,19771,320,50,2227,0,687,100077,48,464,365,12,451,18,0,1905,7867,32
14,0,0,1,0,1005,20984,320,50,2371,0,551,-1,46,294,377,5,284,32,2,1905,7562,1189
15,0,0,1,0,1005,15699,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,11281,943
16,0,0,1,0,1005,17914,320,50,2043,2,39,-1,32,476,294,12,451,18,0,1905,10651,138
17,0,0,1,2,1005,15708,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,13279,1307
18,0,1,1,0,1005,6558,320,50,571,2,39,-1,32,24,75,2,451,18,0,1905,12570,159
19,0,0,1,0,1005,21234,320,50,2434,3,163,100088,61,294,377,5,202,32,10,1905,17106,1247
20,0,0,1,0,1005,20352,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,9496,352
21,0,0,1,0,1005,15706,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,1921,199
22,0,0,1,0,1005,20366,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,11149,665
23,1,0,1,0,1005,15701,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,13542,874
24,0,0,1,0,1005,15706,320,50,1722,0,35,100083,79,62,465,2,451,18,0,1905,15963,1470
25,0,1,4,0,1010,21665,320,50,2493,3,35,-1,117,294,377,5,480,18,2,2802,7264,1102
26,0,1,1,0,1005,20984,320,50,2371,0,551,100217,46,493,240,12,451,18,0,1905,13527,732
27,1,0,1,0,1005,21611,320,50,2480,3,297,100111,61,294,377,5,163,5,2,1734,2905,1635
28,0,0,1,0,1005,20366,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,5495,1508
29,0,0,1,0,1005,15706,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,4549,1683
30,0,0,1,3,1005,15708,320,50,1722,0,35,-1,79,294,377,5,205,5,7,1221,9480,890
31,0,0,1,0,1005,16838,320,50,1882,3,35,-1,13,554,410,2,451,18,0,1905,11535,1607
32,1,0,1,0,1005,15708,320,50,1722,0,35,100083,79,62,465,2,451,18,0,1905,11241,564
33,0,0,1,0,1005,15699,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,11820,1508
34,0,0,1,0,1005,20362,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,7095,1508
35,0,0,1,3,1005,18987,320,50,2158,3,291,100193,61,294,377,5,399,5,7,855,2414,1502
36,0,0,1,0,1005,20596,320,50,2161,0,35,-1,157,3,10,8,451,18,0,1905,7237,296
37,1,0,1,0,1005,18993,320,50,2161,0,35,100034,157,294,377,5,21,10,13,1905,14104,315
38,0,0,1,0,1005,18993,320,50,2161,0,35,-1,157,3,10,8,451,18,0,1905,5450,448
39,1,0,1,0,1005,15706,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,12234,395
40,0,0,1,0,1005,15704,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,517,528
41,0,0,1,0,1005,19870,320,50,2271,0,687,100075,48,241,399,13,451,18,0,1905,4001,688
42,0,0,1,0,1005,15708,320,50,1722,0,35,-1,79,294,377,5,428,5,7,784,4722,213
43,0,1,4,0,1010,21665,320,50,2493,3,35,-1,117,294,377,5,314,18,2,1562,10895,1599
44,1,0,0,0,1002,21661,320,50,2446,3,171,100228,156,291,377,5,451,18,0,1352,4260,1436
45,0,1,1,0,1005,16208,320,50,1800,3,167,100075,23,29,400,12,451,18,0,1905,9016,810
46,1,0,1,0,1005,15701,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,485,1190
47,0,1,1,0,1005,17037,320,50,1934,2,39,-1,16,493,240,12,451,18,0,1905,9944,203
48,0,1,1,0,1005,16920,320,50,1899,0,431,-1,117,213,37,12,451,18,0,1905,17246,769
49,0,0,1,0,1005,20352,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,3746,269
50,1,0,1,0,1005,20366,320,50,2333,0,39,-1,157,174,230,12,451,18,0,1905,16839,930
51,0,0,1,0,1005,15705,320,50,1722,0,35,100084,79,294,377,5,97,5,2,1905,5814,390
52,1,0,1,2,1005,18993,320,50,2161,0,35,100131,157,294,377,5,301,5,5,1905,16978,1307
53,1,0,1,0,1005,15701,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,14129,1110
54,0,0,1,0,1005,15701,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,2009,213
55,0,1,1,0,1005,16615,320,50,1863,3,39,100188,23,213,37,12,451,18,0,1905,14222,1634
56,0,1,1,0,1005,20634,320,50,2374,3,39,-1,23,493,240,12,451,18,0,1905,587,1425
57,0,0,1,0,1005,15704,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,10606,213
58,0,0,1,0,1005,18993,320,50,2161,0,35,-1,157,294,377,5,35,5,13,1905,6190,1085
59,0,0,1,0,1005,18993,320,50,2161,0,35,-1,157,3,10,8,451,18,0,1905,9867,798
60,1,0,1,0,1005,20596,320,50,2161,0,35,100034,157,294,377,5,21,10,13,1905,389,723
61,0,0,1,0,1005,15699,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,485,1508
62,0,0,1,0,1005,17212,320,50,1887,3,39,100202,23,220,78,12,451,18,0,1905,299,567
63,0,0,1,0,1005,15705,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,13753,810
64,0,0,1,0,1005,20362,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,10637,269
65,1,0,1,0,1005,15708,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,2773,603
66,0,1,1,0,1005,17747,320,50,1974,2,39,100021,33,493,240,12,451,18,0,1905,10126,1607
67,0,0,1,0,1005,21611,320,50,2480,3,297,100111,61,294,377,5,479,21,2,1905,2027,1050
68,1,0,1,0,1005,15699,320,50,1722,0,35,-1,79,23,184,12,451,18,0,1905,33,227
69,0,0,1,0,1005,15707,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,8940,1683
70,0,1,1,0,1005,17914,320,50,2043,2,39,-1,32,488,219,12,451,18,0,1905,16914,598
71,0,0,1,0,1005,20352,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,7095,1508
72,0,0,1,0,1005,15705,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,3763,1508
73,0,0,1,0,1005,15707,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,9546,227
