,click,banner_pos,device_type,device_conn_type,C1,C14,C15,C16,C17,C18,C19,C20,C21,site_id_enconde,site_domain_enconde,site_category_enconde,app_id_enconde,app_domain_enconde,app_category_enconde,device_id_enconde,device_ip_enconde,device_model_enconde
0,1,0,1,2,1005,15707,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,3816,650
1,1,0,1,0,1005,15701,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,13542,874
2,1,0,1,0,1005,21611,320,50,2480,3,297,100111,61,294,377,5,163,5,2,1734,2905,1635
3,1,0,1,0,1005,15708,320,50,1722,0,35,100083,79,62,465,2,451,18,0,1905,11241,564
4,1,0,1,0,1005,18993,320,50,2161,0,35,100034,157,294,377,5,21,10,13,1905,14104,315
5,1,0,0,0,1002,21661,320,50,2446,3,171,100228,156,291,377,5,451,18,0,1352,4260,1436
6,1,0,1,0,1005,15701,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,485,1190
7,1,0,1,0,1005,20596,320,50,2161,0,35,100034,157,294,377,5,21,10,13,1905,389,723
8,1,0,1,0,1005,15699,320,50,1722,0,35,-1,79,23,184,12,451,18,0,1905,33,227
9,1,0,1,0,1005,15701,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,770,227
10,1,1,1,0,1005,17212,320,50,1887,3,39,100200,23,476,294,12,451,18,0,1905,13266,802
11,1,0,1,0,1005,19665,320,50,2253,2,303,-1,52,556,434,2,451,18,0,1905,9569,274
12,1,0,0,0,1002,21300,320,50,2446,3,171,100228,156,291,377,5,451,18,0,2572,8493,1436
13,1,0,1,0,1005,15705,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,5886,810
14,1,0,1,0,1005,15699,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,11163,1508
15,1,0,1,0,1005,15708,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,8975,778
16,1,1,1,0,1005,20352,320,50,2333,0,39,-1,157,493,240,12,451,18,0,1905,6052,1508
17,1,1,1,0,1005,17753,320,50,1993,2,1063,100084,33,476,294,12,451,18,0,1905,3257,561
18,1,0,1,0,1005,15701,320,50,1722,0,35,100083,79,62,465,2,451,18,0,1905,14759,116
19,1,1,1,0,1005,17614,320,50,1993,2,1063,-1,33,476,294,12,451,18,0,1905,17391,1149
20,1,0,1,0,1005,19016,300,250,2162,2,39,-1,33,204,220,4,451,18,0,1905,17366,448
21,1,1,1,2,1005,17614,320,50,1993,2,1063,-1,33,476,294,12,451,18,0,1905,8954,446
22,1,0,1,0,1005,20346,300,250,2331,2,39,-1,23,115,128,12,451,18,0,1905,15404,1305
23,1,0,1,0,1005,17654,300,250,1994,2,39,100084,33,204,220,4,451,18,0,1905,11900,866
24,1,1,1,0,1005,20596,320,50,2161,0,35,-1,157,565,272,0,451,18,0,1905,12918,930
25,1,1,1,0,1005,15708,320,50,1722,0,35,-1,79,493,240,12,451,18,0,1905,15687,943
26,1,0,1,2,1005,16615,320,50,1863,3,39,-1,23,303,393,4,451,18,0,1905,7018,1307
27,1,0,1,0,1005,20634,320,50,2374,3,39,-1,23,294,377,5,430,14,2,1905,9992,606
28,1,1,1,0,1005,20632,320,50,2374,3,39,-1,23,493,240,12,451,18,0,1905,2444,1763
29,1,0,1,0,1005,15704,320,50,1722,0,35,100084,79,476,294,12,451,18,0,1905,13117,37
30,1,1,1,0,1005,9438,320,50,898,3,427,100005,61,272,289,12,451,18,0,1905,7460,789
31,1,0,1,0,1005,20346,300,250,2331,2,39,100060,23,294,377,5,258,5,2,1905,13250,1182
32,1,0,1,0,1005,15704,320,50,1722,0,35,100083,79,476,294,12,451,18,0,1905,12055,943
33,1,0,1,0,1005,15703,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,15126,1508
34,1,0,1,0,1005,15707,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,17069,561
35,1,0,1,2,1005,15707,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,11822,1764
36,1,1,1,0,1005,17614,320,50,1993,2,1063,-1,33,476,294,12,451,18,0,1905,4913,340
37,1,0,0,0,1002,381,300,50,112,3,1319,-1,15,294,377,5,174,18,0,977,7808,616
38,1,0,1,0,1005,19015,300,250,2162,2,39,100173,33,204,220,4,451,18,0,1905,7176,481
39,1,0,1,0,1005,15704,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,14309,1149
40,1,0,1,0,1005,15701,320,50,1722,0,35,100083,79,62,465,2,451,18,0,1905,9892,1149
41,1,0,1,0,1005,20984,320,50,2371,0,551,100215,46,294,377,5,284,32,2,1905,15801,1189
42,1,0,1,0,1005,15708,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,258,943
43,1,0,1,0,1005,4687,320,50,423,2,39,100148,32,294,377,5,430,14,2,1905,14665,452
44,1,0,1,0,1005,17653,300,250,1994,2,39,100083,33,204,220,4,451,18,0,1905,11912,851
45,1,0,1,0,1005,17914,320,50,2043,2,39,-1,32,476,294,12,451,18,0,1905,8095,54
46,1,0,1,0,1005,19666,300,250,2253,2,303,-1,52,556,434,2,451,18,0,1905,2257,315
47,1,1,1,0,1005,17753,320,50,1993,2,1063,100084,33,476,294,12,451,18,0,1905,11325,116
48,1,1,1,0,1005,20596,320,50,2161,0,35,-1,157,561,385,12,451,18,0,1905,15034,1559
49,1,1,1,0,1005,17037,320,50,1934,2,39,-1,16,493,240,12,451,18,0,1905,10831,547
50,1,0,1,0,1005,15708,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,9093,1149
51,1,0,1,0,1005,15703,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,14278,453
52,1,0,1,0,1005,15702,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,9264,1359
53,1,0,1,0,1005,20632,320,50,2374,3,39,-1,23,294,377,5,430,14,2,1905,8734,547
54,1,1,1,0,1005,20366,320,50,2333,0,39,-1,157,493,240,12,451,18,0,1905,15719,227
55,1,1,1,0,1005,17753,320,50,1993,2,1063,-1,33,476,294,12,451,18,0,1905,9408,126
56,1,1,1,0,1005,4687,320,50,423,2,39,100148,32,493,240,12,451,18,0,1905,1612,1305
57,1,1,1,0,1005,17753,320,50,1993,2,1063,-1,33,476,294,12,451,18,0,1905,4160,910
58,1,0,1,0,1005,15704,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,8586,395
59,1,0,0,0,1002,19665,320,50,2253,2,303,-1,52,334,455,5,451,18,0,420,61,999
60,1,0,1,0,1005,12000,320,50,1248,2,39,-1,13,294,377,5,475,5,2,1778,212,1353
61,1,0,1,0,1005,15707,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,6194,227
62,1,1,1,0,1005,17614,320,50,1993,2,1063,-1,33,476,294,12,451,18,0,1905,2031,1110
63,1,0,1,0,1005,15704,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,485,269
64,1,0,1,0,1005,15702,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,6022,399
65,1,1,1,0,1005,17614,320,50,1993,2,1063,-1,33,476,294,12,451,18,0,1905,15595,910
66,1,0,1,0,1001,20153,320,50,2307,3,163,100020,61,284,377,2,451,18,0,1905,14131,1662
67,1,1,1,0,1005,19772,320,50,2227,0,687,100079,48,431,334,12,451,18,0,1905,12353,452
68,1,0,1,0,1005,15704,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,16866,943
69,1,0,1,0,1005,20352,320,50,2333,0,39,-1,157,258,372,12,451,18,0,1905,16649,227
70,1,1,4,0,1010,21311,320,50,2449,0,163,100105,91,294,377,5,372,18,2,25,5139,1634
71,1,0,1,0,1005,15701,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,7093,561
72,1,0,1,0,1005,20751,320,50,1895,0,681,100028,101,294,377,5,106,32,2,1905,5038,1695
73,1,0,1,0,1005,15701,320,50,1722,0,35,100084,79,476,294,12,451,18,0,1905,15527,390
74,1,0,1,0,1005,19665,320,50,2253,2,303,-1,52,188,376,12,451,18,0,1905,2848,310
75,1,0,1,0,1005,20346,300,250,2331,2,39,-1,23,115,128,12,451,18,0,1905,15404,1305
76,1,0,0,0,1002,21660,320,50,2446,3,171,100228,156,294,377,5,149,18,0,774,7238,1623
77,1,0,1,0,1005,15705,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,12892,948
78,1,0,1,0,1005,15701,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,622,561
79,1,1,1,0,1005,20363,216,36,2333,0,39,-1,157,493,240,12,451,18,0,1905,9334,1606
80,1,0,1,0,1005,20508,320,50,2351,3,163,-1,61,294,377,5,479,21,2,1905,7298,328
81,1,0,1,0,1005,15708,320,50,1722,0,35,100083,79,168,200,12,451,18,0,1905,5303,778
82,1,1,4,0,1010,21665,320,50,2493,3,35,-1,117,294,377,5,480,18,2,1556,3540,833
83,1,0,1,0,1005,15702,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,3884,778
84,1,0,1,0,1005,17914,320,50,2043,2,39,-1,32,476,294,12,451,18,0,1905,4464,547
85,1,0,1,0,1005,15707,320,50,1722,0,35,-1,79,278,302,7,451,18,0,1905,6215,943
86,1,0,1,0,1005,15702,320,50,1722,0,35,100083,79,62,465,2,451,18,0,1905,2454,874
87,1,1,1,0,1005,20143,320,50,2306,3,39,-1,23,47,17,12,451,18,0,1905,8184,889
88,1,0,1,0,1005,15702,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,12901,1110
89,1,0,1,2,1005,18993,320,50,2161,0,35,-1,157,294,377,5,443,5,2,1968,12331,1126
90,1,0,1,0,1005,15701,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,10679,227
91,1,1,1,0,1005,21612,320,50,2481,3,297,100111,61,503,13,3,451,18,0,1905,5980,1067
92,1,0,1,0,1005,15708,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,6131,232
93,1,1,1,0,1005,15706,320,50,1722,0,35,-1,79,476,294,12,451,18,0,1905,11529,943
94,1,0,1,0,1005,20362,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,5994,1508
95,1,0,1,0,1005,12000,320,50,1248,2,39,100034,13,294,377,5,475,5,2,1905,16476,92
96,1,0,1,0,1005,15704,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,3759,1640
97,1,1,1,0,1005,20362,320,50,2333,0,39,-1,157,493,240,12,451,18,0,1905,14698,159
98,1,0,1,0,1005,15708,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,5806,547
99,1,1,1,2,1005,20362,320,50,2333,0,39,-1,157,493,240,12,451,18,0,1905,11850,1197
100,1,0,1,0,1005,21611,320,50,2480,3,297,100111,61,294,377,5,479,21,2,1905,3709,161
101,1,0,1,0,1005,16920,320,50,1899,0,431,100075,117,213,37,12,451,18,0,1905,4628,202
102,1,0,1,0,1005,15703,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,10651,1325
103,1,1,4,2,1010,20362,320,50,2333,0,39,-1,157,294,377,5,155,18,2,2506,12013,1069
