,click,banner_pos,device_type,device_conn_type,C1,C14,C15,C16,C17,C18,C19,C20,C21,site_id_enconde,site_domain_enconde,site_category_enconde,app_id_enconde,app_domain_enconde,app_category_enconde,device_id_enconde,device_ip_enconde,device_model_enconde
0,1,0,0,0,1002,19665,320,50,2253,2,303,-1,52,456,446,5,451,18,0,2505,2519,218
1,1,0,1,0,1005,15708,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,17453,1149
2,1,0,1,0,1005,15699,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,6308,395
3,1,0,1,0,1005,16858,320,50,1887,3,39,100194,23,287,164,12,451,18,0,1905,2955,299
4,1,0,1,0,1005,20366,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,11928,1637
5,1,0,0,0,1002,21660,320,50,2446,3,171,100228,156,291,377,5,451,18,0,1743,4940,1436
6,1,0,1,0,1005,20984,320,50,2371,0,551,100215,46,294,377,5,284,32,2,1905,4434,1189
7,1,0,1,2,1005,18993,320,50,2161,0,35,100131,157,294,377,5,301,5,5,1905,16978,1307
8,1,0,1,0,1005,15701,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,2072,260
9,1,0,1,0,1005,19666,300,250,2253,2,303,100000,52,556,434,2,451,18,0,1905,3566,1213
10,1,0,1,0,1005,20015,300,250,2284,3,39,-1,23,554,410,2,451,18,0,1905,16432,178
11,1,1,1,0,1005,15708,320,50,1722,0,35,-1,79,150,75,2,451,18,0,1905,13542,561
12,1,0,1,0,1005,20596,320,50,2161,0,35,-1,157,540,174,12,451,18,0,1905,6406,269
13,1,0,1,0,1005,15704,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,13617,561
14,1,0,1,2,1005,20633,320,50,2374,3,39,-1,23,294,377,5,430,14,2,614,3432,1307
15,1,0,1,0,1005,17653,300,250,1994,2,39,100084,33,204,220,4,451,18,0,1905,5091,910
16,1,0,1,0,1005,15708,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,11438,1508
17,1,0,1,0,1005,15699,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,11419,814
18,1,0,1,0,1005,15702,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,9480,227
19,1,1,1,0,1005,6616,320,50,576,2,35,100131,32,22,148,12,451,18,0,1905,8984,227
20,1,0,1,0,1005,15702,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,16850,814
21,1,0,1,0,1005,20634,320,50,2374,3,39,-1,23,294,377,5,290,5,13,1905,8791,547
22,1,0,1,0,1005,15705,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,15126,1683
23,1,1,1,0,1005,17753,320,50,1993,2,1063,100084,33,476,294,12,451,18,0,1905,7210,1110
24,1,0,1,0,1005,15704,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,4549,227
25,1,0,1,0,1005,20366,320,50,2333,0,39,-1,157,220,78,12,451,18,0,1905,4880,1223
26,1,0,1,0,1005,15702,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,2676,778
27,1,1,1,2,1005,17753,320,50,1993,2,1063,-1,33,476,294,12,451,18,0,1905,11698,1764
28,1,0,1,0,1005,18993,320,50,2161,0,35,-1,157,540,174,12,451,18,0,1905,1558,547
29,1,0,0,0,1002,21201,320,50,2427,0,169,100106,91,294,377,5,149,18,0,2098,3146,1332
30,1,0,1,0,1005,18993,320,50,2161,0,35,-1,157,48,356,12,451,18,0,1905,16677,456
31,1,0,1,0,1005,21611,320,50,2480,3,297,100111,61,294,377,5,154,25,2,1905,15797,384
32,1,0,1,0,1005,15708,320,50,1722,0,35,-1,79,476,294,12,451,18,0,1905,4155,910
33,1,0,1,0,1005,15707,320,50,1722,0,35,100084,79,220,78,12,451,18,0,1905,14577,910
34,1,0,0,0,1002,21685,320,50,2496,3,167,-1,23,255,377,5,451,18,0,863,7904,1584
35,1,0,1,0,1005,15706,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,5999,1325
36,1,0,1,0,1005,17654,300,250,1994,2,39,100083,33,204,220,4,451,18,0,1905,4095,227
37,1,0,1,0,1005,15703,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,2171,1110
38,1,0,1,0,1005,20361,300,250,2333,0,39,-1,157,294,377,5,464,5,2,757,13203,1672
39,1,0,1,0,1005,15702,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,7119,778
40,1,0,1,0,1005,15705,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,16031,1149
41,1,0,1,0,1005,17654,300,250,1994,2,39,-1,33,204,220,4,451,18,0,1905,8264,910
42,1,0,1,0,1005,15701,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,11499,227
43,1,0,1,0,1005,16071,320,50,1784,2,175,100081,95,303,393,4,451,18,0,1905,16678,430
44,1,0,1,0,1005,15705,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,290,1110
45,1,0,1,0,1005,20633,320,50,2374,3,39,-1,23,294,377,5,430,14,2,1905,13790,213
46,1,1,4,0,1010,21665,320,50,2493,3,35,-1,117,294,377,5,273,18,2,35,4794,1662
47,1,0,1,2,1005,20362,320,50,2333,0,39,100025,157,294,377,5,456,30,2,1734,8232,1378
48,1,0,1,0,1005,20508,320,50,2351,3,163,100020,61,294,377,5,479,21,2,1905,12995,1228
49,1,0,1,0,1005,15708,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,14144,438
50,1,0,1,0,1005,17654,300,250,1994,2,39,-1,33,204,220,4,451,18,0,1905,8742,817
51,1,0,1,0,1005,19950,320,50,1800,3,167,100075,23,223,287,12,451,18,0,1905,3980,943
52,1,0,1,0,1005,15705,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,3800,686
53,1,0,0,0,1002,21660,320,50,2446,3,171,100228,156,291,377,5,451,18,0,2170,12387,1436
54,1,1,4,0,1010,21665,320,50,2493,3,35,-1,117,294,377,5,268,18,2,2008,6753,259
55,1,0,1,0,1005,19665,320,50,2253,2,303,-1,52,170,191,2,451,18,0,1905,9237,1306
56,1,0,1,0,1005,15708,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,17035,1508
